chars,id
。,1
，,2
是,3
的,4
不,5
一,6
”,7
“,8
儿,9
动,10
了,11
个,12
就,13
说,14
有,15
人,16
在,17
e,18
口,19
o,20
总,21
我,22
离,23
字,24
a,25
这,26
！,27
？,28
上,29
i,30
大,31
他,32
来,33
为,34
后,35
r,36
到,37
中,38
也,39
n,40
子,41
要,42
小,43
出,44
s,45
t,46
国,47
被,48
家,49
会,50
么,51
l,52
还,53
没,54
生,55
点,56
时,57
年,58
们,59
地,60
多,61
你,62
下,63
二,64
好,65
开,66
三,67
用,68
都,69
发,70
可,71
但,72
*,73
得,74
车,75
过,76
能,77
方,78
和,79
分,80
对,81
天,82
p,83
行,84
之,85
成,86
以,87
看,88
d,89
现,90
着,91
如,92
、,93
公,94
自,95
于,96
手,97
很,98
十,99
法,100
去,101
本,102
面,103
c,104
老,105
里,106
心,107
称,108
事,109
某,110
y,111
她,112
两,113
警,114
u,115
机,116
打,117
A,118
五,119
前,120
起,121
零,122
经,123
学,124
S,125
当,126
吧,127
高,128
八,129
四,130
此,131
名,132
把,133
想,134
女,135
样,136
道,137
最,138
h,139
作,140
理,141
场,142
M,143
回,144
m,145
种,146
而,147
业,148
网,149
百,150
民,151
C,152
实,153
安,154
头,155
其,156
报,157
定,158
P,159
啊,160
已,161
然,162
者,163
文,164
电,165
同,166
怎,167
长,168
意,169
全,170
房,171
工,172
九,173
g,174
六,175
市,176
表,177
情,178
重,179
b,180
外,181
问,182
门,183
进,184
明,185
案,186
T,187
那,188
该,189
七,190
常,191
办,192
保,193
部,194
次,195
应,196
从,197
主,198
什,199
将,200
简,201
果,202
边,203
新,204
美,205
给,206
B,207
正,208
间,209
日,210
所,211
啦,212
体,213
因,214
比,215
力,216
路,217
无,218
D,219
L,220
只,221
F,222
并,223
话,224
走,225
友,226
内,227
钱,228
哪,229
爱,230
水,231
关,232
司,233
让,234
身,235
系,236
指,237
些,238
难,239
入,240
别,241
真,242
k,243
等,244
做,245
合,246
信,247
又,248
度,249
加,250
I,251
先,252
呢,253
平,254
张,255
产,256
数,257
花,258
更,259
目,260
何,261
金,262
性,263
写,264
价,265
己,266
认,267
查,268
O,269
住,270
才,271
活,272
接,273
调,274
呀,275
示,276
w,277
f,278
知,279
与,280
眼,281
放,282
收,283
N,284
相,285
直,286
气,287
位,288
男,289
院,290
解,291
持,292
包,293
通,294
制,295
几,296
见,297
风,298
化,299
品,300
v,301
J,302
再,303
处,304
白,305
件,306
记,307
G,308
员,309
受,310
期,311
管,312
谁,313
交,314
题,315
非,316
李,317
少,318
感,319
资,320
便,321
区,322
太,323
未,324
快,325
建,326
即,327
政,328
第,329
死,330
E,331
马,332
改,333
城,334
王,335
R,336
台,337
今,338
物,339
提,340
医,341
元,342
利,343
费,344
据,345
游,346
北,347
伤,348
代,349
标,350
火,351
孩,352
英,353
格,354
单,355
向,356
式,357
干,358
半,359
强,360
戏,361
空,362
带,363
东,364
W,365
务,366
楼,367
原,368
服,369
完,370
底,371
片,372
买,373
H,374
班,375
月,376
结,377
步,378
觉,379
程,380
款,381
计,382
吃,383
量,384
立,385
病,386
基,387
变,388
请,389
清,390
亲,391
流,392
影,393
商,394
统,395
板,396
特,397
爸,398
西,399
海,400
光,401
准,402
算,403
户,404
始,405
缩,406
万,407
联,408
听,409
号,410
乐,411
V,412
声,413
转,414
图,415
周,416
吗,417
则,418
近,419
照,420
找,421
随,422
至,423
陈,424
消,425
备,426
师,427
客,428
反,429
各,430
决,431
由,432
求,433
跟,434
思,435
选,436
K,437
战,438
息,439
线,440
条,441
送,442
导,443
视,444
