id,words
1,。
2,，
3,是
4,的
5,不
6,一
7,”
8,“
9,儿
10,动
11,了
12,个
13,就
14,说
15,有
16,人
17,在
18,e
19,口
20,o
21,总
22,我
23,离
24,字
25,a
26,这
27,！
28,？
29,上
30,i
31,大
32,他
33,来
34,为
35,后
36,r
37,到
38,中
39,也
40,n
41,子
42,要
43,小
44,出
45,s
46,t
47,国
48,被
49,家
50,会
51,么
52,l
53,还
54,没
55,生
56,点
57,时
58,年
59,们
60,地
61,多
62,你
63,下
64,二
65,好
66,开
67,三
68,用
69,都
70,发
71,可
72,但
73,*
74,得
75,车
76,过
77,能
78,方
79,和
80,分
81,对
82,天
83,p
84,行
85,之
86,成
87,以
88,看
89,d
90,现
91,着
92,如
93,、
94,公
95,自
96,于
97,手
98,很
99,十
100,法
101,去
102,本
103,面
104,c
105,老
106,里
107,心
108,称
109,事
110,某
111,y
112,她
113,两
114,警
115,u
116,机
117,打
118,A
119,五
120,前
121,起
122,零
123,经
124,学
125,S
126,当
127,吧
128,高
129,八
130,四
131,此
132,名
133,把
134,想
135,女
136,样
137,道
138,最
139,h
140,作
141,理
142,场
143,M
144,回
145,m
146,种
147,而
148,业
149,网
150,百
151,民
152,C
153,实
154,安
155,头
156,其
157,报
158,定
159,P
160,啊
161,已
162,然
163,者
164,文
165,电
166,同
167,怎
168,长
169,意
170,全
171,房
172,工
173,九
174,g
175,六
176,市
177,表
178,情
179,重
180,b
181,外
182,问
183,门
184,进
185,明
186,案
187,T
188,那
189,该
190,七
191,常
192,办
193,保
194,部
195,次
196,应
197,从
198,主
199,什
200,将
201,简
202,果
203,边
204,新
205,美
206,给
207,B
208,正
209,间
210,日
211,所
212,啦
213,体
214,因
215,比
216,力
217,路
218,无
219,D
220,L
221,只
222,F
223,并
224,话
225,走
226,友
227,内
228,钱
229,哪
230,爱
231,水
232,关
233,司
234,让
235,身
236,系
237,指
238,些
239,难
240,入
241,别
242,真
243,k
244,等
245,做
246,合
247,信
248,又
249,度
250,加
251,I
252,先
253,呢
254,平
255,张
256,产
257,数
258,花
259,更
260,目
261,何
262,金
263,性
264,写
265,价
266,己
267,认
268,查
269,O
270,住
271,才
272,活
273,接
274,调
275,呀
276,示
277,w
278,f
279,知
280,与
281,眼
282,放
283,收
284,N
285,相
286,直
287,气
288,位
289,男
290,院
291,解
292,持
293,包
294,通
295,制
296,几
297,见
298,风
299,化
300,品
301,v
302,J
303,再
304,处
305,白
306,件
307,记
308,G
309,员
310,受
311,期
312,管
313,谁
314,交
315,题
316,非
317,李
318,少
319,感
320,资
321,便
322,区
323,太
324,未
325,快
326,建
327,即
328,政
329,第
330,死
331,E
332,马
333,改
334,城
335,王
336,R
337,台
338,今
339,物
340,提
341,医
342,元
343,利
344,费
345,据
346,游
347,北
348,伤
349,代
350,标
351,火
352,孩
353,英
354,格
355,单
356,向
357,式
358,干
359,半
360,强
361,戏
362,空
363,带
364,东
365,W
366,务
367,楼
368,原
369,服
370,完
371,底
372,片
373,买
374,H
375,班
376,月
377,结
378,步
379,觉
380,程
381,款
382,计
383,吃
384,量
385,立
386,病
387,基
388,变
389,请
390,清
391,亲
392,流
393,影
394,商
395,统
396,板
397,特
398,爸
399,西
400,海
401,光
402,准
403,算
404,户
405,始
406,缩
407,万
408,联
409,听
410,号
411,乐
412,V
413,声
414,转
415,图
416,周
417,吗
418,则
419,近
420,照
421,找
422,随
423,至
424,陈
425,消
426,备
427,师
428,客
429,反
430,各
431,决
432,由
433,求
434,跟
435,思
436,选
437,K
438,战
439,息
440,线
441,条
442,送
443,导
444,视
